fitur,skor_chi2,skor_mi,mean_abs_shap_fs0,rank_shap_fs0,skor_chi2_norm,skor_mi_norm,mean_abs_shap_fs0_norm,terpilih_chi2,terpilih_mi,overlap_fs2_fs3,gaya_hidup
stress_level,24.3676,0.0828,0.136415,1,0.9284840633275544,0.8165680473372781,1.0,True,True,True,True
sleep_hours,26.2445,0.1014,0.122522,2,1.0,1.0,0.8981563611039841,True,True,True,True
anxiety_level,21.0332,0.0733,0.116523,3,0.8014326811331899,0.722879684418146,0.8541802587691969,True,True,True,True
daily_social_media_hours,20.1386,0.0797,0.106722,4,0.767345539065328,0.7859960552268244,0.782333321115713,True,True,True,True
physical_activity,0.214,0.0412,0.022157,5,0.008154089428261159,0.4063116370808678,0.16242348715317229,False,True,False,True
screen_time_ratio,3.3159,0.0226,0.018687,6,0.12634647259425785,0.22287968441814593,0.1369864017886596,True,False,False,True
academic_performance,0.1738,0.0349,0.018249,7,0.006622339918840139,0.34418145956607493,0.1337756111864531,False,False,False,True
screen_time_before_sleep,0.2238,0.023,0.012224,8,0.008527501000209568,0.22682445759368836,0.08960891397573581,False,False,False,True
addiction_level,0.2699,0.0002,0.00799,9,0.010284059517232182,0.0019723865877712033,0.05857127148773962,False,False,False,True
gender,1.5938,0.0,0.005696,10,0.06072891462973195,0.0,0.041754938972986835,True,False,False,False
age,0.0,0.0,0.004957,11,0.0,0.0,0.036337646153282256,False,False,False,False
platform_Instagram,2.9747,0.0,0.002753,12,0.11334565337499286,0.0,0.02018106513213356,True,False,False,False
social_interaction_level,0.0491,0.0084,0.002364,13,0.00187086818190478,0.08284023668639053,0.017329472565333726,False,False,False,True
platform_TikTok,1.0835,0.0084,0.002125,14,0.04128484063327554,0.08284023668639053,0.015577465821207346,True,False,False,False
